ID,제목,저자,발행처,발행년월일,발행년,수량,가격,본문언어,비매품여부,이용대상,카테고리
NBC20241538943,(2023~2024) SD에듀 펀드투자권유자문인력:,유창호;유창호;강성국,시대고시기획,2024------,2024,304 p.,15300,kor,N,일반,경제/경영
NBC20241538945,(2023~2024학년도) 성과기반 지역사회간호학실습A·B 지침서,안혜란;오수현;김자선,남부대학교 ;다온북스,2024-01-09,2024,112 p.,42900,kor,N,전문,역사/인문
NBC20241538971,(2024 I can!) FAT 회계실무 1급,삼일인포마인,삼일회계법인 삼일인포마인,2024-02-22,2024,662 p.,19100,kor,N,일반,경제/경영
NBC20241538980,(2024 SD에듀) 스포츠경영관리사,전찬수;박상윤;임기태,SD에듀 시대고시기획,2024-04-15,2024,835 p.,35500,kor,N,일반,경제/경영
NBC20241525856,(2024 SD에듀) 스포츠경영관리사,전찬수(KAC201607870);박상윤(KAC201739057);임기태(KAC201712799),SD에듀,2024-04-15,2024,835 p.,18700,kor,N,일반,경제/경영
NBC20241538989,(2024 Simple) 전산회계 1급,이길용;이승주;하병권,희소,2024------,2024.0,355 p.,17400,kor,N,일반,경제/경영
NBC20241538990,(2024 Simple) 전산회계 2급,이길용;이승주;하병권,희소,2024------,2024.0,586 p.,12000,kor,N,일반,경제/경영
NBC20241538994,(2024 l can!) FAT 회계실무 2급,삼일인포마인,삼일회계법인 삼일인포마인,2024-02-28,2024,513 p.,15800,kor,N,일반,경제/경영
NBC20241538995,(2024 new splus) 전산회계운용사,홍윤표,나눔클래스,2024-01-24,2024,313 p.,14800,kor,N,일반,경제/경영
NBC20241538996,(2024 new splus) 전산회계운용사,홍윤표,나눔클래스,2024-01-31,2024,416 p.,23200,kor,N,일반,경제/경영
NBC20241539018,(2024 간호직·보건진료직을 위한) 김희영 지역사회간호 핵심노트,김희영,BTB Books BTB,2024-02-05,2024,255 p.,30000,kor,N,일반,역사/인문
NBC20241539027,(2024 고시넷 고패스) 투자자산운용사 여기서 다(多) 나온다,김경진,Gosinet(고시넷),2024-10-10,2024,150 p.,34100,kor,N,일반,경제/경영
NBC20241539049,(2024 나눔) FAT 회계실무 1급,서승희;이하진;김익동,나눔A&T(나눔에이엔티),2024-04-11,2024,503 p.,31600,kor,N,일반,경제/경영
NBC20241539051,(2024 나눔) 전산회계운용사,서승희;김익동,나눔A&T(나눔에이엔티),2024-01-22,2024,"v, 292 p.",25100,kor,N,일반,경제/경영
NBC20241539061,(2024 더존 new splus) 전산회계운용사 실기3급 대비 회계실무,정호주,파스칼미디어,2024-01-31,2024,300 p.,13600,kor,N,일반,경제/경영
NBC20241539066,(2024 발달장애인의 지역사회 자립을 위한) 주거지원 가이드북,임진아;이선이;이기영;심영훈,서울시복지재단,2024-08-01,2024,143 p.,31600,kor,Y,전문,역사/인문
NBC20241539067,(2024 배극윤의) 품질경영기사,배극윤,예문사,2024-02-20,2024,"9, 305 p.",17300,kor,N,일반,경제/경영
NBC20241539068,(2024 배극윤의) 품질경영기사,배극윤,예문사,2024-02-20,2024,"5, 216 p.",21700,kor,N,일반,경제/경영
NBC20241539069,(2024 배극윤의) 품질경영기사,배극윤,예문사,2024-01-10,2024,"17, 518 p.",35500,kor,N,일반,경제/경영
NBC20241539070,(2024 배극윤의) 품질경영기사,배극윤,예문사,2024-01-10,2024,"6, 717 p.",40300,kor,N,일반,경제/경영
NBC20241539071,(2024 배극윤의) 품질경영기사 필기,배극윤,예문사,2024------,2024,"9, 305 p.",10300,kor,N,일반,경제/경영
NBC20241539072,(2024 배극윤의) 품질경영기사:,배극윤,예문사,2024------,2024,"17, 518 p.",10900,kor,N,일반,경제/경영
NBC20241539073,(2024 배극윤의) 품질경영기사:,배극윤,예문사,2024------,2024,"6, 717 p.",22500,kor,N,일반,경제/경영
NBC20241539074,(2024 배극윤의) 품질경영기사·산업기사,배극윤,예문사,2024-04-10,2024,"23, 504 p.",24800,kor,N,일반,경제/경영
NBC20241539075,(2024 배극윤의) 품질경영기사·산업기사,배극윤,예문사,2024-04-10,2024,729 p.,39400,kor,N,일반,경제/경영
NBC20241539081,(2024 법원시행시험 제2차 기출문제해설) 논술 부동산등기법,오영관,法學社,2024------,2024,605 p.,43600,kor,U,일반,경제/경영
NBC20241539082,(2024 봄) 우리나라 좋은동화,배유안;임정순;김은주;신은주;김우주;문경민;김종일;정연혜;이봄메;지안;전수경;신지명;이인아,열림원어린이,2024-05-01,2024,241 p.,13900,kor,N,아동청소년,어린이
NBC20241539115,(2024 알기사) 정보보안기사(산업기사),정일영,탑스팟,2024------,2024,765 p,19100,kor,N,일반,IT/컴퓨터
NBC20241539139,(2024 이패스) 객관식 경영학,고강유,Epasskorea(이패스코리아),2024-01-09,2024,573 p.,22900,kor,N,일반,경제/경영
NBC20241539140,(2024 이패스) 객관식 경제학,박지훈,Epasskorea(이패스코리아),2024-01-24,2024,517 p.,43300,kor,N,일반,경제/경영
NBC20241539178,(2024 전산회계운용사 대비) 2급필기 모의고사문제집,정호주,파스칼미디어,2024-01-05,2024,202 p.,21200,kor,N,일반,경제/경영
NBC20241539179,(2024 전산회계운용사 대비) 3급필기 모의고사문제집,정호주,파스칼미디어,2024-01-05,2024,131 p.,13600,kor,N,일반,경제/경영
NBC20241539181,(2024 전직원이 함께하는 알기쉬운) 회계 실무,이항수,경제법륜사,2024------,2024.0,315 p.,35500,kor,N,일반,경제/경영
NBC20241539190,(2024 제1회) 림 문학상 수상작품집,성수진;이돌별;고하나;이서현;장진영,열림원,2024------,2024.0,전자책 1책,43600,kor,N,일반,소설/문학
NBC20241539195,(2024 조태정 영어)CLIMAX,조태정,사피엔스넷,2024------,2024,136 p.,21600,kor,U,일반,외국어
NBC20241539200,(2024 최단기) 빅데이터 분석기사,훈쌤,배움,2024------,2024,146 p.,12100,kor,N,일반,IT/컴퓨터
NBC20241539216,(2024 파이썬으로 준비하는) 빅데이터분석기사,장은진,일진사,2024-04-20,2024,315 p.,13000,kor,N,일반,IT/컴퓨터
NBC20241539217,(2024 파이썬으로 준비하는) 빅데이터분석기사,장은진,일진사,2024------,2024,315 p.,35900,kor,N,일반,IT/컴퓨터
NBC20241539219,(2024 퍼펙트) 무역영어 1급:,김현수,세종출판사,2024------,2024,717 p.,22900,kor,N,일반,외국어
NBC20241539220,(2024 퍼펙트) 무역영어 2급·3급,김현수,세종,2024------,2024,579 p.,13100,kor,U,일반,외국어
NBC20241539223,(2024 포인트) 경영조직론 연습,신현표,법학사,2024------,2024.0,487 p.,34500,kor,U,일반,경제/경영
NBC20241539230,(2024 하루에 끝장내기) 회계감사,도정환,세경북스,2024-01-05,2024,266 p.,34000,kor,N,일반,경제/경영
NBC20241539282,(2024) ADsP 데이터분석 준전문가,전용문;박현민,위키북스,2024-01-15,2024,"xix, 490 p.",23900,kor,N,일반,IT/컴퓨터
NBC20241539294,(2024) ERP 정보관리사 회계,김혜숙;김진우;임상종,삼일회계법인 삼일인포마인,2024-03-13,2024,614 p.,38800,kor,N,일반,경제/경영
NBC20241539295,(2024) ERP 정보관리사 회계,김혜숙;김진우;임상종,삼일회계법인 삼일인포마인,2024-03-25,2024,520 p.,26600,kor,N,일반,경제/경영
NBC20241539296,(2024) FAT 회계실무,홍윤표;김광용,나눔클래스,2024-02-21,2024,490 p.,23900,kor,N,일반,경제/경영
NBC20241539297,(2024) FAT 회계실무,홍윤표;김광용,나눔클래스,2024-02-23,2024,486 p.,24700,kor,N,일반,경제/경영
NBC20241539320,(2024) TESAT 경제이해력 검증시험,김대수,시스컴 출판사,2024-01-10,2024,477 p.,40000,kor,N,일반,경제/경영
NBC20241539325,(2024) i-plus를 활용한 전산회계,조환석;김은정,이포럼,2024-10-07,2024,346 p.,17700,kor,N,전문,경제/경영
NBC20241525882,(2024) 가업승계 성공전략,성셈;한경식;이영봉,작가와,2024-01-30,2024,325 p.,37900,kor,N,일반,자기계발
NBC20241539363,(2024) 건설업 회계와 세무실무,이강오;임종석;박상용,광교이택스,2024-02-29,2024,1387 p.,10200,kor,N,전문,경제/경영
NBC20241539383,(2024) 경영지도사,박상훈;한은주;박진영,와우패스(wowpass),2024------,2024,3책,25900,kor,N,일반,경제/경영
NBC20241539384,(2024) 경영지도사,송홍민;전해운;박민우,SD에듀 시대고시기획,2024-02-20,2024,"87, 624 p.",27800,kor,N,일반,경제/경영
NBC20241539385,(2024) 경영지도사,송치경;이누리,와우패스(wowpass),2024------,2024,5책,38000,kor,N,일반,경제/경영
NBC20241525889,(2024) 경영지도사,송홍민(KAC202228046);전해운(KAC202228053);박민우(KAC202228056),SD에듀,2024-02-20,2024,"87, 624 p.",19500,kor,N,일반,경제/경영
NBC20241539388,(2024) 계정과목별 회계와 세무,이영우;최종기,조세통람,2024-04-05,2024,1684 p.,14500,kor,N,일반,경제/경영
NBC20241539410,(2024) 공인중개사 부동산공법,권경원;이영표,공인모(공인모법학원),2024-04-30,2024,224 p.,26000,kor,N,일반,경제/경영
NBC20241539411,(2024) 공인중개사 부동산공시법령,이승현,공인모(공인모법학원),2024-04-30,2024,86 p.,25900,kor,N,일반,경제/경영
NBC20241539412,(2024) 공인중개사 부동산세법,김성래,공인모(공인모법학원),2024-04-30,2024,131 p.,24300,kor,N,일반,경제/경영
NBC20241539413,(2024) 공인중개사 부동산학개론,이영철,공인모(공인모법학원),2024-04-30,2024,143 p.,39400,kor,N,일반,경제/경영
NBC20241539414,(2024) 공인회계사 최신기출문제집,주민규,세경사,2024-02-08,2024,222 p.,29000,kor,N,일반,경제/경영
NBC20241539433,(2024) 국가공인 SQLD 자격검정 핵심노트,조시형;신동민;정희락;김경수,디비안,2024-03-22,2024,385 p.,11200,kor,N,전문,IT/컴퓨터
NBC20241539437,(2024) 국내외 인공지능(AI)·빅데이터 및 관련 핵심 산업 시장총람과 기술개발 전략,신성장동력산업정보기술연구회,산업경제리서치,2024------,2024,912 p.,22800,kor,N,일반,IT/컴퓨터
NBC20241539438,(2024) 국내외 인공지능(AI)·빅데이터 및 관련 핵심 산업 시장총람과 기술개발 전략,신성장동력산업정보기술연구회,산업경제리서치,2024------,2024,918 p.,34100,kor,N,일반,IT/컴퓨터
NBC20241539439,(2024) 국내외 차세대 핵심소재/ 세라믹/섬유/(기계)금속 및 성형가공 분야 시장총람과 비즈니스 전략,신성장동력산업정보기술연구회,산업경제리서치,2024------,2024,954 p.,33700,kor,U,일반,경제/경영
NBC20241539443,(2024) 국제무역사 1급,김병수,시스컴 출판사,2024-07-05,2024,315 p.,23700,kor,N,일반,역사/인문
NBC20241539444,(2024) 국제무역사 1급:,한국무역협회.무역아카데미,한국무역협회 무역아카데미,2024------,2024.0,447 p.,18400,kor,N,일반,역사/인문
NBC20241539463,(2024) 김승옥문학상 수상작품집,조경란;신용목;조해진;반수연;안보윤;강태식;이승은,문학동네,2024-10-10,2024,338 p.,42700,kor,N,일반,소설/문학
NBC20241539475,(2024) 내일은 SQL 개발자,박부창,김앤북 아이비김영,2024------,2024,431 p.,39900,kor,U,일반,IT/컴퓨터
NBC20241539476,(2024) 내일은 리눅스 마스터,노매드로고스,김앤북,2024------,2024,568 p.,40900,kor,N,일반,IT/컴퓨터
NBC20241539490,(2024) 대한민국 재테크 트렌드,김영익;홍춘욱;오건영;이상우;김제경;남석관;이효석;신년기;김동엽;조재영;오영표;안수남;김나영;조선일보.경제부,원앤원북스,2024-03-07,2024,375 p.,36600,kor,N,일반,경제/경영
NBC20241525897,(2024) 대한민국 재테크 트렌드,조선일보.경제부(KAB201809218);김영익(KAC201216146);홍춘욱(KAC201225917);오건영(KAC2018O9627);이상우;김제경;남석관;이효석;신년기(KAC202371778);김동엽;조재영(KAC2019G4187);오영표(KAC201709691);안수남(KAC201224204);김나영,원앤원북스,2024-03-14,2024,전자책 1책,43600,kor,N,일반,경제/경영
NBC20241539497,(2024) 디지털 서비스 플랫폼/디지털 컨텐츠/비대면 디지털 소재·부품/메타버스 분야 시장총람과 비즈니스 전략,산업경제리서치,산업경제리서치,2024------,2024.0,493 p.,10900,kor,N,일반,경제/경영
NBC20241539498,(2024) 디지털 서비스 플랫폼/디지털 컨텐츠/비대면 디지털 소재·부품/메타버스 분야 시장총람과 비즈니스 전략,산업경제리서치,산업경제리서치,2024------,2024.0,513 p.,36300,kor,N,일반,경제/경영
NBC20241539510,(2024) 문학세계,고원기념사업회,고원기념사업회 시산맥사,2024------,2024,359 p.,31400,kor,N,일반,소설/문학
NBC20241539511,(2024) 문학춘하추동 시화전집,강선숙;강성효;강원산;고원구;고정현;고현숙;권영호;권재도;김강회;김동주;김은숙;김정옥;김진호;김태옥;남기철;노민병;박효석;배원식;변창렬;신계전;심성보;안효만;예시원;유점순;윤외기;이관수;이광호;이명순;이상현;이성범;이종갑;이철우;정미란;정순영;조경례;조영두;최인호;최규협;최미경;최옥희;최정민;한병윤;현광락;문병설,문학춘하추동,2024-11-08,2024,104 p.,14500,kor,N,일반,소설/문학
NBC20241539608,(2024) 부동산 세금의 생각지도,박남석,좋은땅,2024-05-10,2024,633 p.,38000,kor,N,일반,경제/경영
NBC20241539609,(2024) 부동산 신탁 실무 해설,장중식,교보문고,2024------,2024,온라인자료 1책,37800,kor,N,일반,경제/경영
NBC20241539610,(2024) 부동산시가표준액표,법률연구회,법률정보센터,2024-06-20,2024,"8, 1290 p.",12500,kor,N,전문,경제/경영
NBC20241539611,(2024) 부동산학개론,권민석,부크크,2024-07-19,2024,158 p.,22000,kor,N,일반,경제/경영
NBC20241539615,(2024) 비상장주식평가실무,김완일;김재은,조세통람,2024-04-22,2024,921 p.,15400,kor,N,일반,경제/경영
NBC20241539617,(2024) 빅데이터 기반 수사정보분석,김경종,경찰대학,2024-08-31,2024,321 p.,23700,kor,Y,전문,IT/컴퓨터
NBC20241539618,(2024) 빅데이터 분석기사,유준수;이동근,시스컴 출판사,2024-01-10,2024,380 p.,10400,kor,N,일반,IT/컴퓨터
NBC20241539619,(2024) 빅데이터분석기사,최예신;권태협;박진원;이경숙;이승헌;김주현,예문에듀 예문아카이브,2024-01-10,2024,640 p.,34300,kor,N,일반,IT/컴퓨터
NBC20241539620,(2024) 빅데이터분석기사,최예신;박진원;이경숙;김주현,예문에듀 예문아카이브,2024-05-20,2024,454 p.,12400,kor,N,일반,IT/컴퓨터
NBC20241539646,(2024) 상법 & 세무회계실무,이항수,경제법륜사,2024------,2024,595 p.,36900,kor,N,일반,경제/경영
NBC20241539666,(2024) 세무회계 기출실록,이철재;정우승,상경사,2024------,2024.0,"x, 248 p.",30000,kor,N,일반,경제/경영
NBC20241539667,(2024) 세무회계 압축정리,이철재;정우승,세경사,2024-04-22,2024,496 p.,11700,kor,N,일반,경제/경영
NBC20241539668,(2024) 세무회계 압축정리,이철재;정우승,세경사,2024-04-11,2024,424 p.,41200,kor,N,일반,경제/경영
NBC20241539669,(2024) 세무회계강의,구성권,세학사,2024-03-04,2024,388 p.,39200,kor,N,전문,경제/경영
NBC20241539670,(2024) 세무회계연습,심충진;서희열,세학사,2024-02-21,2024,717 p.,28500,kor,N,전문,경제/경영
NBC20241539671,(2024) 세무회계연습,강경태,샘앤북스,2024-03-02,2024,1007 p. (쪽수복잡),37500,kor,N,전문,경제/경영
NBC20241539672,(2024) 세무회계연습,강경태,샘앤북스,2024-02-21,2024,"16, 736, 233 p.",13500,kor,N,전문,경제/경영
NBC20241539673,(2024) 세무회계연습,이승원,바른생각 현지,2024------,2024,666 p.,26700,kor,N,일반,경제/경영
NBC20241539674,(2024) 세무회계연습,정재연;이승철;박지섭,용빈출판사,2024-03-22,2024,"456, 309, 104 p.",33200,kor,N,일반,경제/경영
NBC20241539675,(2024) 세무회계연습,양소영,스케치스,2024------,2024,839 p.,24000,kor,U,일반,경제/경영
NBC20241539676,(2024) 세무회계연습,정재연;이승철;박지섭,용빈출판사,2024-02-21,2024,822 p.,18100,kor,N,일반,경제/경영
NBC20241539748,(2024) 신춘문예 당선소설집,임희강;곽민주;강세영;이준아;허성환;김진표;유재연;김슬기;곽재민;임택수;홍기라;정대성;기명진;조성백;김성희;이지혜;유호민;이수정;이은정;김하진;신가람;권희진;김영은;윤호준;한국소설가협회,한국소설가협회,2024-01-26,2024,541 p.,13900,kor,N,일반,소설/문학
NBC20241539749,(2024) 신춘문예 당선시집,맹재범;엄지인;박동주;한백양;강지수;김해인;이실비;추성은;김유수;강성재;조우리,문학마을,2024-01-15,2024,181 p.,28300,kor,N,일반,소설/문학
NBC20241539763,(2024) 알고리즘 이론 + 기출:,김강현,지안에듀,2024------,2024.0,259 p.,36500,kor,N,일반,IT/컴퓨터
NBC20241539766,(2024) 알기쉬운 회계실무,정민웅,조세통람,2024-01-19,2024,402 p.,37900,kor,N,일반,경제/경영
NBC20241539771,(2024) 업종별 회계와 세무,이선표;장대준;손정호,어울림,2024-03-05,2024,389 p.,18000,kor,N,일반,경제/경영
NBC20241539848,(2024) 에듀윌 무역영어 1급,김기만,Eduwill(에듀윌),2024-01-07,2024,"293, 182 p.",27900,kor,N,일반,외국어
NBC20241539893,(2024) 에듀윌 전산회계 1급,김성수,Eduwill(에듀윌),2024-01-15,2024,202 p.,32500,kor,N,일반,경제/경영
NBC20241539894,(2024) 에듀윌 전산회계 1급,김성수,Eduwill(에듀윌),2024-01-15,2024,306 p.,11500,kor,N,일반,경제/경영
NBC20241539895,(2024) 에듀윌 전산회계 2급,박진혁,Eduwill(에듀윌),2024-01-15,2024,215 p.,27600,kor,N,일반,경제/경영
NBC20241539896,(2024) 에듀윌 전산회계 2급,박진혁,Eduwill(에듀윌),2024-01-15,2024,182 p.,15300,kor,N,일반,경제/경영
NBC20241539963,(2024) 이동기 영어 하루프로젝트,이동기,에스티유니타스,2024-02-28,2024,"64 p. (봉투들이, 쪽수복잡)",24400,kor,N,일반,외국어
NBC20241539968,(2024) 이효석 문학상 수상작품집,손보미;문지혁;서장원;성해나;안윤;예소연;안보윤,북다,2024------,2024.0,전자책 1책,11400,kor,N,일반,소설/문학
NBC20241539976,(2024) 인공지능(AI) 및 빅데이터 기술개발 동향과 시장전망,산업동향연구소,산업동향연구소(LAB Book),2024------,2024,789 p.,31100,kor,N,일반,IT/컴퓨터
NBC20241539981,(2024) 임상심리사,이은주,예문에듀 예문아카이브,2024-01-30,2024,332 p.,18000,kor,N,일반,역사/인문
NBC20241539982,(2024) 임상심리사,이은주,예문에듀 예문아카이브,2024-01-10,2024,626 p.,21500,kor,N,일반,역사/인문
NBC20241539983,(2024) 임상심리사,김형준;유상현,인성재단 나눔book,2024-01-02,2024,275 p.,19300,kor,N,일반,역사/인문
NBC20241539984,(2024) 임상심리사 1급 필기 기출 및 예상문제집,김형준;조은문;윤희준,나눔book,2024-01-15,2024,322 p.,16300,kor,N,일반,역사/인문
NBC20241539985,(2024) 임상심리사 2급,김형준;유상현,나눔book 인성재단,2024------,2024,2책,27500,kor,N,일반,역사/인문
NBC20241540026,(2024) 전산회계 FAT 1급,이상은,어울림,2024-03-25,2024,582 p.,26000,kor,N,일반,경제/경영
NBC20241540027,(2024) 전산회계 FAT 2급,이상은,어울림,2024-04-11,2024,517 p.,13600,kor,N,일반,경제/경영
NBC20241540033,(2024) 제2회 군산초단편문학상 수상작품집,양서토;김도란;김영란;류지희;김란;김희웅;서윤;신이령;양휘호,프로파간다,2024-11-30,2024,131 p.,36400,kor,N,일반,소설/문학
NBC20241540057,(2024) 증권투자권유자문인력,김일영;이진,시스컴 출판사,2024-01-10,2024,434 p.,28800,kor,N,일반,경제/경영
NBC20241540093,(2024) 최종마무리 부동산등기법,김미영,法學社,2024------,2024,"iii, 362 p.",18700,kor,N,일반,경제/경영
NBC20241540114,(2024) 투자자산운용사,김일영;이진,시스컴 출판사,2024-01-10,2024,432 p.,40400,kor,N,일반,경제/경영
NBC20241540115,(2024) 투자자산운용사,유창호;유스터디에듀,SD에듀 시대고시기획,2024-04-05,2024,472 p.,25800,kor,N,일반,경제/경영
NBC20241540116,(2024) 투자자산운용사,유창호;유스터디에듀,SD에듀 시대고시기획,2024-04-05,2024,413 p.,15100,kor,N,일반,경제/경영
NBC20241540117,(2024) 투자자산운용사,유창호;유스터디에듀,SD에듀 시대고시기획,2024-01-05,2024,413 p.,14400,kor,N,일반,경제/경영
NBC20241540118,(2024) 투자자산운용사,유창호;유스터디에듀,SD에듀 시대고시기획,2024-01-05,2024,472 p.,14100,kor,N,일반,경제/경영
NBC20241525966,(2024) 투자자산운용사,유스터디에듀;유창호(KAC201627077),SD에듀,2024-01-05,2024,1048 p. (쪽수복잡),30100,kor,N,일반,경제/경영
NBC20241525967,(2024) 투자자산운용사,유스터디에듀;유창호(KAC201627077),SD에듀,2024-04-05,2024,1048 p.(쪽수복잡),33800,kor,N,일반,경제/경영
NBC20241540119,(2024) 투자자산운용사 실제유형 모의고사 + 특별부록,유창호;유스터디에듀,시대에듀 시대고시기획,2024-08-05,2024,"328 p. (봉투들이, 쪽수복잡)",38800,kor,N,일반,경제/경영
NBC20241525968,(2024) 투자자산운용사 실제유형 모의고사 + 특별부록,유스터디에듀;유창호(KAC201627077),SD에듀,2024-02-05,2024,665 p. (쪽수복잡),19700,kor,N,일반,경제/경영
NBC20241525969,(2024) 투자자산운용사 실제유형 모의고사 + 특별부록,유스터디에듀;유창호(KAC201627077),SD에듀,2024-05-06,2024,666 p.(쪽수복잡),23100,kor,N,일반,경제/경영
NBC20241525970,(2024) 투자자산운용사 실제유형 모의고사 + 특별부록,유창호,시대에듀,2024-08-05,2024,[700] p. (쪽수복잡),35500,kor,N,일반,경제/경영
NBC20241540120,(2024) 투자자산운용사 실제유형 모의고사 + 특별부록,유창호;유스터디에듀,시대고시기획 SD에듀,2024-05-06,2024,"328 p. (봉투들이, 쪽수복잡)",43600,kor,N,일반,경제/경영
NBC20241540122,(2024) 파생상품투자권유자문인력,김일영;이진,시스컴 출판사,2024-01-10,2024,442 p.,32800,kor,N,일반,경제/경영
